Symbol,Timestamp,Open,High,Low,Close,Volume,Open Interest
FUT12,45084.0,,,,,,11.0
FUT2,45084.0,87725.0,88725.0,86250.0,1000000000000000.0,-1363333.8664983946,55728.0
FUT3,45084.0,84.0,84.85,82.675,83.35,25371.0,60020.0
FUT4,45084.0,77.7,77.7,75.475,-3281.6630742665297,8957.0,36974.0
FUT5,45084.0,75.1,75.1,72.975,72.825,6756.0,26748.0
FUT6,45084.0,-60729.88622739416,8055.0,7855.0,7892.5,3363.0,14692.0
FUT7,45084.0,85.25,85.5,84.325,83.7,396.0,4616.0
FUT8,45084.0,,,,,17.0,104.0
FUT9,45084.0,94.4,-634.2725314044561,94.4,94.6,39.0,835.0
FUT1,45085.0,87.25,87.875,86.7,1e+20,5958.0,15035.0
FUT10,45085.0,94.4,94.85,94.85,1e-08,37.0,1e-08
FUT11,45085.0,92.975,93.5,92.975,93.5,0.0,0.0
FUT12,45085.0,,,,,,11.0
FUT2,45085.0,86750.0,87775.0,85875.0,87500.0,27865.0,-1248141.833082582
FUT3,45085.0,-669.5484003076898,82.95,81.3,82.625,23521.0,64338.0
FUT4,45085.0,75.65,75.65,74.025,74.5,9480.0,36346.0
FUT5,45085.0,72.975,72.975,71.45,-818.0160406926892,5947.0,26054.0
FUT6,45085.0,7842.5,7880.0,7767.5,7857.5,3443.0,15357.0
FUT7,45085.0,83.7,84.4,83.225,84.225,598.0,4673.0
FUT8,45085.0,8825.0,8825.0,8782.5,8782.5,-10000000000.0,110.0
FUT9,45085.0,93.925,94.575,-418.55808826598604,94.575,45.0,1e-08
FUT1,45086.0,-1178.4323920939948,88.0,87.2,88.0,4737.0,14239.0
FUT10,45086.0,94.275,95.075,94.275,95.075,25.0,255.0
FUT11,45086.0,93.65,93.65,93.125,93.125,224.69625579264516,116.0
FUT12,45086.0,,,,,,11.0
FUT2,45086.0,87000.0,90200.0,86975.0,89875.0,29286.0,48802.0
FUT3,45086.0,82.175,84.475,82.1,84.2,23359.0,70067.0
FUT4,45086.0,74.05,75.875,74.05,75.7,9692.0,36800.0
FUT5,45086.0,72.0,73.5,71.975,73.35,256465.81299113444,24740.0
FUT6,45086.0,-1e+20,7922.499999999999,7812.5,7920.0,3813.0,16392.0
FUT7,45086.0,84.2,84.6,83.325,84.475,546.0,4789.0
FUT8,45086.0,8880.0,8880.0,8782.5,8880.0,0.0,0.0
FUT9,45086.0,94.75,-182.75510744348512,93.4,94.1,67.0,832.0
FUT1,45089.0,87.5,87.9,87.1,87.175,4742.0,13165.0
FUT10,45089.0,-5666.479905702174,95.275,94.725,95.275,60.0,267.0
FUT11,45089.0,93.75,1057.5875268692841,93.5,93.6,90.0,1e-08
FUT12,45089.0,6158612052.329443,-2822020083.593936,-10000000000.0,1e+20,3.168312093562219e-07,740.6450529876811
FUT2,45089.0,-128676.01397831115,93125.0,89700.0,91050.0,33448.0,42755.0
FUT3,45089.0,83.975,87.975,83.95,86.925,27948.0,72636.0
FUT4,45089.0,75.525,78.15,75.525,77.8,9426.0,-1000000000000000.0
FUT5,45089.0,-4656.944187521857,74.9,73.475,74.725,6109.0,24125.0
FUT6,45089.0,7955.0,8037.5,7870.0,8034.999999999999,4029.0,16729.0
FUT7,45089.0,84.725,85.375,8265.00647032368,85.35,10000000000.0,4943.0
FUT8,45089.0,8842.5,8847.5,8847.5,8842.5,21.0,125.0
FUT9,45089.0,94.825,95.275,94.1,95.275,146.0,864.0
FUT1,45090.0,87.1,87.425,86.8,87.125,1e+20,12291.0
FUT10,45090.0,-5073.34529338602,96.275,95.35,96.275,73.0,290.0
FUT11,45090.0,1e-08,94.0,93.575,-932.1116868100847,48.0,205.0
FUT12,45090.0,1e+20,-7.374138630117224e-07,1.2681019683303454e-07,95875590825.81242,1.0,16.0
